ID,Pension personal,Pension corporativa,Fondo inversión,Fondo inversión (extra),Acciones,Activos renta fija,Criptomonedas,Criptomonedas (extra),Hipoteca_actual,Hipoteca_adquirida_2y,Prestamo_personal_actual,Prestamo_personal_adquirido_2y,Tarjeta_credito_adquirida_2y,Descubierto_autorizado,Tarjeta_credito_para_efectivo,Hipoteca_flexible,Prestamo_contra_fondo_pension,Microcredito,Payday_loan,Empeño_en_casa_de_empeño,Ayuda_familia_comunidad,Prestamo_familia_comunidad
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,1,1,1,1,0,0,1,1,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
4,1,0,0,0,0,1,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
5,0,0,0,0,0,-98,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
6,0,0,0,0,0,-98,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
7,1,1,0,0,0,1,0,0,1,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
8,-98,-98,-98,-98,-98,-98,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
9,1,1,-98,-98,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
10,0,0,0,0,0,0,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
11,0,-98,0,0,-98,0,-98,-98,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
12,0,0,0,0,-98,0,-98,-98,0,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
13,0,0,1,1,0,-98,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
14,0,0,0,0,-98,-98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,0,0,0,0,0,0,-98,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
16,0,0,0,0,0,-98,0,0,0,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
17,-98,-98,-98,-98,0,-98,0,0,0,0,-98,-98,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
19,0,0,0,0,0,0,0,0,0,0,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
20,0,0,0,0,0,-98,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
21,1,0,0,0,0,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
22,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
23,1,0,0,0,-98,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
24,1,0,1,1,0,0,0,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
25,0,0,0,0,-98,1,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
26,1,0,0,0,0,1,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
27,-98,-98,0,0,-98,-98,0,0,0,0,1,1,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
28,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
29,0,0,0,0,0,-98,0,0,1,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
30,1,0,1,0,0,1,-98,-98,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
31,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
32,0,0,0,0,0,-98,-98,-98,0,0,-98,-98,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,1,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
34,1,0,0,0,0,-98,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
35,0,1,1,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
36,1,0,0,0,0,0,0,0,1,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
37,0,0,1,1,0,0,0,0,1,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
38,0,1,1,0,0,1,0,0,1,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
39,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
40,0,1,0,0,0,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
41,0,1,0,0,-98,0,0,0,0,0,-98,-98,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
