cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight,t_hipoteca,t_ppension_ind,t_ppension_emp,t_fondo_inv,t_acciones,t_prestamo,t_renta_fija,t_cuentas_depositos,adq_hipoteca,adq_ppension_ind,adq_ppension_emp,adq_fondo_inv,adq_acciones,adq_prest,adq_otros_act,adq_renta_fija,adq_cuentas_depositos,uso_cc,uso_ahorro_dep,venta_activos,prestamo_fam,prestamo_amig,tarjeta_cred,descubierto_auto,prest_garantia,linea_cred,prest_banc,prest_nobanc,otro_prest
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,40,1,2022,0,0,-1,6814.126,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,54,2,2022,1,-1,-1,3277.0151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Educación Secundaria,Asalariado,Vive solo,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,54,3,2022,1,1,1,1730.8894,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,48,4,2022,0,0,-1,3449.5601,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,49,5,2022,1,-1,-1,2644.1462,0,0,0,0,0,1,-98,0,0,0,0,0,0,1,0,-98,0,0,0,0,0,0,0,0,0,0,1,0,0
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,6,2022,1,1,1,5715.6382,0,0,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,48,7,2022,1,1,1,2722.5627,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Desempleado,Otros adultos,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,2022,0,0,-1,4462.0566,0,-98,-98,-98,-98,0,-98,-98,0,-98,-98,-98,-98,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,52,9,2022,-1,-1,0,2399.2625,0,1,1,-98,0,0,-98,0,0,0,1,-98,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive con pareja,Residencia principal y otras,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,40,10,2022,0,0,1,1362.5674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Desempleado,Vive con pareja,Residencia principal y otras,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,11,2022,1,1,-1,9286.7021,0,0,-98,0,-98,0,0,-98,0,0,-98,0,-98,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,35,12,2022,0,1,-1,2094.7771,0,0,0,0,-98,1,0,-98,0,0,0,0,-98,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,55,13,2022,1,0,1,1438.7893,1,0,0,1,0,0,-98,0,0,0,0,1,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,15,2021,0,1,1,3869.7461,0,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Autónomo,Vive con pareja,No posee residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,32,16,2022,1,1,0,6137.2813,0,0,0,0,0,1,-98,0,0,0,0,0,0,1,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22,17,2022,0,0,1,4197.2192,0,-98,-98,-98,0,-98,-98,0,0,-98,-98,-98,0,-98,-98,-98,0,1,0,0,0,0,0,0,0,0,0,0,0
