i0900_1;i0900_2;i0900_3;i0900_4;i0900_5;fi0900;i0700_1;i0700_2;i0700_3;i0700_4;i0700_5;fi0700;j0700_1;j0700_2;j0700_3;j0700_4;j0700_5;fj0700;j0500_1;j0500_2;j0500_3;j0500_4;j0500_5;fj0500;i0300_1;i0300_2;i0300_3;i0300_4;i0300_5;fi0300;j1300_1;j1300_2;j1300_3;j1300_4;j1300_5;fj1300;weight;ID
80;80;80;80;80;0;450;450;450;450;450;0;1500;1500;1500;1500;1500;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6814.126;1
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3277.0151;2
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;350;350;350;350;350;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1730.8894;3
100;100;100;100;100;0;289;289;289;289;289;0;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3449.5601;4
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;520.79999;520.79999;520.79999;520.79999;520.79999;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;2644.1462;5
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5715.6382;6
60;60;60;60;60;0;550;550;550;550;550;0;400;400;400;400;400;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;2722.5627;7
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;15;15;15;15;15;0;450;450;450;450;450;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;4462.0566;8
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;600;600;600;600;600;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2399.2625;9
80;80;80;80;80;0;200;200;200;200;200;0;200;200;200;200;200;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1362.5674;10
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;9286.7021;11
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1500;1500;1500;1500;1500;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2094.7771;12
35;35;35;35;35;0;840;840;840;840;840;0;5000;5000;5000;5000;5000;0;533.99139;726.82788;572.15369;510.14841;427.43271;1;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;1438.7893;13
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;500;500;500;500;500;0;300;300;300;300;300;0;300;300;300;300;300;0;1;1;1;1;1;0;3014.8184;14
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;200;200;200;200;200;0;3;3;3;3;3;0;3869.7461;15
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;217;217;217;217;217;0;390;390;390;390;390;0;3;3;3;3;3;0;6137.2813;16
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;500;500;500;500;500;0;2;2;2;2;2;0;4197.2192;17
100;80;100;100;100;1;118.7078;703.01678;333.46259;748.50598;240.5087;1;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;6268.3364;18
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4500;4500;4500;4500;4500;0;450;450;450;450;450;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;672.11249;19
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;250;250;250;250;250;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3183.6763;20
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;500;500;500;500;500;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5570.4805;21
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1500;1500;1500;1500;1500;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2760.2632;22
