Periodo;18-34;35-44;45-54;55-64;65-79;80+;Población total;Nacido en España;Nacido en el extranjero;Vivienda 1P;Vivienda 2P;Vivienda 3P;Vivienda 4P+
2026;9645659.936515;6593651.444881;8133931.720871;7168322.578384;7347125.685366;3115675.280675;42004366.646692;39558053;10352203;5789248.0;5834480.0;3929228.0;4473591.0
2027;9907935.849702;6568481.987037;8162352.33995;7321511.304566;7545348.802849;3184606.864581;42690237.14868499;39439272;11066795;5961960.0;5970254.0;3955340.0;4476857.0
2028;10110689.846623;6565151.178473;8147892.742451;7470007.090434;7738711.298925;3265768.368105;43298220.525011;39326569;11707379;6132953.0;6101831.0;3974940.0;4472241.0
2029;10283859.108422;6571732.066056;8092160.121164;7597356.021767;7916032.412418;3376656.537457;43837796.267284;39219773;12269599;6303421.0;6226729.0;3988031.0;4459658.0
2030;10426882.15723;6572784.769044;7994228.209765;7708279.992712;8140189.596978;3465663.881474;44308028.607203;39118352;12757711;6463401.0;6344058.0;3995309.0;4442011.0
2031;10535682.409027;6578049.051232;7866697.979084;7831686.956838;8366068.921322999;3536026.203645;44714211.521149;39021784;13180655;6615200.0;6455648.0;3997563.0;4419343.0
2032;10597990.402863;6588812.974731;7713924.305703999;7954285.216298;8584031.609834;3611951.135788;45050995.645218;38929560;13549353;6762485.0;6561871.0;3995120.0;4392664.0
2033;10641664.545737;6607933.889373001;7561499.903706;8045918.906918;8792042.943787001;3706992.733874;45356052.923395;38841140;13874925;6907696.0;6663567.0;3988675.0;4362965.0
2034;10671420.382317;6618961.805639;7412038.778216;8132516.450305;8991044.377686;3799101.85667;45625083.650833;38755976;14167600;7046473.0;6759871.0;3979504.0;4332795.0
2035;10668956.541851;6644628.748454;7285432.030914;8182161.762422;9194953.0278;3885425.298531;45861557.409972005;38673568;14436150;7183233.0;6855160.0;3968280.0;4300571.0
2036;10629368.160983;6683842.096267;7170402.387761001;8206681.740313;9385931.220387;3985296.584651;46061522.190362;38593480;14687659;7318562.0;6947721.0;3955399.0;4268122.0
